# Generated from Google Mozc dictionary_oss. Do not edit manually.
あさひく	旭区
あさひしんぶん	朝日新聞
あさひしんぶんしゃ	朝日新聞社
あさひな	朝比奈	朝日奈
あさひほうそう	朝日放送
あさひやま	旭山
あさま	浅間
あさまし	浅まし
あさましい	浅ましい
あさましから	浅ましから
あさましかれ	浅ましかれ
あさましかろ	浅ましかろ
あさましき	浅ましき
あさましゅう	浅ましゅう
あさまやま	浅間山
あさみ	麻美	あさ美	浅見
あさみじゅん	朝美絢
あさみなみ	安佐南
あさみひかる	朝海ひかる
あさみれい	麻実れい
あさり	浅利
あされ	漁れ
あさろ	漁ろ
あざ	字
あざい	浅井
あざとかわいい	あざと可愛い
あざな	字
あざなえ	糾え
あざぶ	麻布
あざぶじゅうばん	麻布十番
あざぶだい	麻布台
あざぶだいがく	麻布大学
あざみの	あざみ野
あざむい	欺い
あざむか	欺か
あざむき	欺き
あざむく	欺く
あざむけ	欺け
あざむこ	欺こ
あざむこう	欺こう
あざやか	鮮やか
あざわらう	嘲笑う	あざ笑う
あざわらえ	嘲笑え
あざわらお	嘲笑お
あざわらおう	嘲笑おう
あざわらっ	嘲笑っ
あし	悪し	足	悪し
あしお	足尾
あしかが	足利
あしかがよしあき	足利義昭
あしから	悪しから
あしからず	悪しからず
あしかれ	悪しかれ
あしかろ	悪しかろ
あしがつい	足がつい
あしがつか	足がつか
あしがとおのい	足が遠のい
あしがら	足柄
あしき	悪しき
あしく	悪しく
あしけれ	悪しけれ
あした	明日	芦田
あしたて	足立
あしたはあしたのかぜがふく	明日は明日の風が吹く
あしだ	芦田
あしだち	足立
あしでかせげ	足で稼げ
あしのこ	芦ノ湖
あしはら	芦原
あしば	足場
あしべ	足部
あしべつ	芦別
あしもと	足元
あしや	芦屋
あしゅう	悪しゅう
あしゅら	阿修羅
あしをあらう	足を洗う
あしをあらえ	足を洗え
あしをあらお	足を洗お
あしをあらおう	足を洗おう
あしをあらっ	足を洗っ
あしをとめ	足を止め
あしをのばし	足を伸ばし	足を延ばし
あしをのばせ	足を伸ばせ	足を延ばせ
あしをのばそ	足を伸ばそ
あしをのばそう	足を伸ばそう
あしをはこば	足を運ば
あしをはこび	足を運び
あしをはこぶ	足を運ぶ
あしをはこべ	足を運べ
あしをはこぼ	足を運ぼ
あしをはこぼう	足を運ぼう
あしをはこん	足を運ん
あしをひっぱっ	足を引っ張っ
あしをひっぱら	足を引っ張ら
あしをひっぱる	足を引っ張る
あしをひっぱろ	足を引っ張ろ
あしをひっぱろう	足を引っ張ろう
あしをふみいれ	足を踏み入れ
あしをふみいれよ	足を踏み入れよ
あしをふみいれよう	足を踏み入れよう
あしをふみいれる	足を踏み入れる
あしをふみいれれ	足を踏み入れれ
あじ	味
あじあ	亜細亜
あじあかっこく	アジア各国
あじあけい	アジア系
あじあけん	アジア圏
あじあしょこく	アジア諸国
あじあじん	アジア人
あじあたいへいよう	アジア太平洋
あじあだいがく	亜細亜大学
あじあちいき	アジア地域
あじけ	味気
あじつけ	味付け
あじのもと	味の素
あじわい	味わい
あじわいぶか	味わい深
あじわいぶかい	味わい深い
あじわいぶかかっ	味わい深かっ
あじわいぶかき	味わい深き
あじわいぶかく	味わい深く
あじわいぶかさ	味わい深さ
あじわいぶかし	味わい深し
あじわう	味わう
あじわえ	味わえ
あじわえよ	味わえよ
あじわえりゃ	味わえりゃ
あじわえる	味わえる
あじわえれ	味わえれ
あじわえん	味わえん
あじわお	味わお
あじわおう	味わおう
あじわっ	味わっ
あじわわ	味わわ
あす	明日
あすか	飛鳥	明日香	飛鳥
あすかやま	飛鳥山
あすみりお	明日海りお
あず	阿須
あずかっ	預かっ
あずかり	預かり	預り	預
あずかる	預かる
あずかれ	与れ
あずかろ	預かろ	与ろ
あずかろう	預かろう
あずき	小豆
あずけ	預け
あずけよ	預けよ
あずけよう	預けよう
あずけりゃ	預けりゃ
あずける	預ける
あずけれ	預けれ
あずけろ	預けろ
あずけん	預けん
あずさ	梓
あずま	吾妻
あずまきょうじ	東京二
あずまの	東野
あずまひろき	東浩紀
あずままち	東町
あずまやま	東山	吾妻山
あずみの	安曇野
あせ	汗
あせくさかろ	汗臭かろ
あせし	汗し
あせす	汗す
あせすれ	汗すれ
あせせよ	汗せよ
あせっ	焦っ
あせばむ	汗ばむ
あせびと	褪せ人
あせら	焦ら
あせり	焦り
あせる	焦る
あせれ	焦れ
あせん	焦ん
あそ	阿蘇
あそう	麻生	浅う
あそさん	阿蘇山
あそば	遊ば
あそばせよ	遊ばせよ
あそばせよう	遊ばせよう
あそばせれ	遊ばせれ
あそばせろ	遊ばせろ
あそび	遊び
あそびにいき	遊びに行き
あそびにいく	遊びに行く
あそびにいっ	遊びに行っ
あそびにき	遊びに来	遊びにき
あそびゃ	遊びゃ
あそびやすい	遊びやすい
あそぶ	遊ぶ
あそべ	遊べ
あそべよ	遊べよ
あそべりゃ	遊べりゃ
あそべる	遊べる
あそべれ	遊べれ
あそべん	遊べん
あそぼ	遊ぼ
あそぼう	遊ぼう
あそん	遊ん
あたい	値
あたいし	値し	価し
あたいしよ	値しよ	価しよ
あたいしよう	値しよう	価しよう
あたいす	値す	価す
あたいする	値する	価する
あたいすれ	値すれ	価すれ
あたいせ	値せ
あたいせよ	値せよ
あたえ	与え	与	與
あたえよ	与えよ
あたえよう	与えよう
あたえりゃ	与えりゃ
あたえる	与える
あたえれ	与えれ
あたえろ	与えろ
あたえん	与えん
あたご	愛宕
あたごじんじゃ	愛宕神社
あたごやま	愛宕山
あたたか	温か	暖か	温か
あたたかい	温かい	暖かい
あたたかいきもち	温かい気持ち
あたたかいくうき	暖かい空気
あたたかいことば	温かい言葉
あたたかいごはん	温かいご飯
あたたかいのみもの	温かい飲み物
あたたかいふくそう	暖かい服装
あたたかいふんいき	温かい雰囲気
あたたかいめ	温かい目
あたたかかっ	暖かかっ	温かかっ
あたたかかろ	暖かかろ
あたたかき	温かき	暖かき
あたたかきゃ	暖かきゃ
あたたかく	暖かく	温かく
あたたかけりゃ	暖かけりゃ	温かけりゃ
あたたかけれ	暖かけれ	温かけれ
あたたかさ	暖かさ	温かさ
あたたかし	暖かし	温かし
あたたかそう	暖かそう
あたたかっ	暖かっ
あたたまっ	温まっ
あたたまら	温まら
あたたまり	温まり
あたたまる	温まる	暖まる
あたたまれ	暖まれ	温まれ
あたたまろ	温まろ	暖まろ
あたたまろう	温まろう
あたため	温め	暖め
あたためなおせ	温め直せ
あたためよ	温めよ	暖めよ
あたためよう	温めよう	暖めよう
あたためりゃ	温めりゃ	暖めりゃ
あたためる	温める	暖める
あたためれ	温めれ	暖めれ
あたためろ	温めろ
あたっ	当たっ	中っ	当っ
あたま	頭
あたまにき	頭にき
